French,English
histoire,history
seulement,only
pensais,thought
aide,help
demande,request
genre,kind
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
heures,hours
vont,will
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
affaire,case
type,type
leurs,their
donné,given
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
pouvoir,power
sois,be
tellement,so much
point,point
venu,came
pardon,sorry
venez,come
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
chérie,sweetheart
gros,large
aura,will have
filles,girls
